Dzien Miesiac Rok Godzina Minuta Sekunda Calkowite_CNR[mV] Odbite_CNR[mV] Dl_atmosfery_CNR[mV] Dl_ziemi_CNR[mV] Temperatura
24 10 2019 0 36 25 -0.06170 0.02770 -0.42140 -0.07590 11.72700 
24 10 2019 0 36 43 -0.06140 0.02600 -0.41960 -0.07110 11.72100 
24 10 2019 0 37 1 -0.06190 0.02790 -0.42050 -0.07130 11.72200 
24 10 2019 0 37 19 -0.06250 0.03110 -0.42080 -0.07110 11.73300 
24 10 2019 0 37 36 -0.06020 0.03300 -0.41970 -0.07170 11.73500 
24 10 2019 0 37 54 -0.05890 0.03410 -0.42360 -0.07490 11.72800 
24 10 2019 0 38 12 -0.05700 0.03750 -0.42840 -0.08420 11.72500 
24 10 2019 0 38 30 -0.05980 0.03420 -0.42530 -0.08440 11.72600 
24 10 2019 0 38 48 -0.06130 0.02940 -0.42200 -0.08010 11.72200 
24 10 2019 0 39 5 -0.05860 0.03060 -0.42310 -0.07930 11.71900 
24 10 2019 0 39 23 -0.05900 0.03040 -0.42430 -0.08080 11.71900 
24 10 2019 0 39 41 -0.05890 0.03140 -0.42770 -0.08080 11.71700 
24 10 2019 0 39 59 -0.05770 0.03380 -0.43630 -0.08760 11.70800 
24 10 2019 0 40 17 -0.05970 0.03200 -0.44180 -0.09200 11.69100 
24 10 2019 0 40 34 -0.06540 0.02590 -0.43850 -0.09120 11.67900 
24 10 2019 0 40 52 -0.06990 0.01950 -0.43310 -0.08910 11.65600 
24 10 2019 0 41 10 -0.07120 0.01680 -0.43260 -0.08850 11.63300 
24 10 2019 0 41 28 -0.07370 0.01350 -0.43070 -0.08810 11.61500 
24 10 2019 0 41 46 -0.07620 0.01020 -0.42710 -0.08650 11.60300 
24 10 2019 0 42 3 -0.07640 0.00950 -0.42460 -0.08490 11.59200 
24 10 2019 0 42 21 -0.07660 0.00940 -0.42260 -0.08340 11.57400 
24 10 2019 0 42 39 -0.07570 0.00570 -0.41330 -0.07730 11.56500 
24 10 2019 0 42 57 -0.06980 0.00450 -0.41050 -0.07200 11.58600 
24 10 2019 0 43 14 -0.05800 0.01160 -0.41630 -0.06960 11.59200 
24 10 2019 0 43 32 -0.05210 0.01940 -0.42020 -0.07340 11.58600 
24 10 2019 0 43 50 -0.05370 0.02300 -0.42020 -0.07220 11.59600 
24 10 2019 0 44 8 -0.05220 0.02380 -0.42050 -0.06920 11.60800 
24 10 2019 0 44 26 -0.04660 0.02800 -0.42640 -0.07440 11.61900 
24 10 2019 0 44 43 -0.04440 0.03370 -0.43710 -0.08520 11.60900 
24 10 2019 0 45 1 -0.05120 0.02800 -0.43340 -0.08460 11.60100 
24 10 2019 0 45 19 -0.05650 0.02450 -0.43140 -0.08510 11.58100 
24 10 2019 0 45 37 -0.06020 0.02220 -0.42480 -0.08370 11.55900 
24 10 2019 0 45 55 -0.06150 0.01980 -0.41680 -0.08030 11.55300 
24 10 2019 0 46 12 -0.05890 0.01850 -0.41530 -0.07730 11.55100 
24 10 2019 0 46 30 -0.05270 0.01930 -0.41570 -0.07710 11.55000 
24 10 2019 0 46 48 -0.04650 0.02180 -0.41370 -0.07580 11.55400 
24 10 2019 0 47 6 -0.04510 0.02130 -0.41410 -0.07380 11.55600 
24 10 2019 0 47 23 -0.04430 0.02080 -0.41350 -0.06860 11.55600 
24 10 2019 0 47 41 -0.04360 0.02160 -0.41310 -0.06510 11.58200 
24 10 2019 0 47 59 -0.03990 0.02360 -0.41390 -0.06070 11.60000 
24 10 2019 0 48 17 -0.03650 0.02640 -0.41620 -0.06150 11.61000 
24 10 2019 0 48 35 -0.03220 0.02390 -0.41840 -0.06240 11.63600 
24 10 2019 0 48 52 -0.02960 0.03130 -0.42900 -0.07250 11.64200 
24 10 2019 0 49 10 -0.03410 0.03110 -0.42210 -0.07320 11.63900 
24 10 2019 0 49 28 -0.03870 0.02960 -0.41700 -0.06870 11.64600 
24 10 2019 0 49 46 -0.04070 0.02990 -0.41420 -0.06690 11.64200 
24 10 2019 0 50 4 -0.04010 0.02740 -0.41250 -0.06500 11.64500 
24 10 2019 0 50 21 -0.04220 0.02910 -0.41800 -0.06480 11.67700 
24 10 2019 0 50 39 -0.04180 0.03590 -0.43080 -0.07710 11.67500 
24 10 2019 0 50 57 -0.04240 0.03730 -0.44050 -0.08720 11.64900 
24 10 2019 0 51 15 -0.05220 0.02940 -0.43670 -0.08940 11.63200 
24 10 2019 0 51 32 -0.06080 0.02220 -0.42980 -0.08800 11.61300 
24 10 2019 0 51 50 -0.06490 0.01840 -0.42940 -0.08950 11.60300 
24 10 2019 0 52 8 -0.06840 0.01620 -0.43860 -0.09260 11.58800 
24 10 2019 0 52 26 -0.07300 0.01130 -0.44070 -0.09220 11.55200 
24 10 2019 0 52 44 -0.07630 0.00670 -0.43220 -0.09040 11.53100 
24 10 2019 0 53 1 -0.07800 0.00440 -0.42790 -0.08980 11.51800 
24 10 2019 0 53 19 -0.07750 0.00440 -0.42640 -0.08910 11.49700 
24 10 2019 0 53 37 -0.07650 0.00310 -0.42380 -0.08820 11.47200 
24 10 2019 0 53 55 -0.07420 0.00220 -0.42180 -0.08520 11.46500 
24 10 2019 0 54 13 -0.07300 0.00400 -0.43310 -0.08750 11.43700 
24 10 2019 0 54 30 -0.07160 0.00590 -0.44340 -0.09070 11.41700 
24 10 2019 0 54 48 -0.07430 0.00290 -0.44190 -0.08940 11.38800 
24 10 2019 0 55 6 -0.07730 -0.00040 -0.43350 -0.08840 11.36900 
24 10 2019 0 55 24 -0.07920 -0.00370 -0.42860 -0.08570 11.34800 
24 10 2019 0 55 42 -0.07690 -0.00110 -0.43890 -0.08830 11.31600 
24 10 2019 0 55 59 -0.07790 -0.00180 -0.44090 -0.09100 11.29100 
24 10 2019 0 56 17 -0.08140 -0.00430 -0.43660 -0.09090 11.26800 
24 10 2019 0 56 35 -0.08310 -0.00470 -0.43400 -0.09010 11.24100 
24 10 2019 0 56 53 -0.08250 -0.00490 -0.43590 -0.09030 11.20100 
24 10 2019 0 57 10 -0.08470 -0.00800 -0.42960 -0.08690 11.17700 
24 10 2019 0 57 28 -0.08480 -0.00780 -0.42610 -0.08250 11.14800 
24 10 2019 0 57 46 -0.08110 -0.00480 -0.42490 -0.08390 11.13500 
24 10 2019 0 58 4 -0.08030 -0.00440 -0.42540 -0.08470 11.10400 
24 10 2019 0 58 22 -0.07920 -0.00400 -0.42980 -0.08510 11.07500 
24 10 2019 0 58 39 -0.08100 -0.00480 -0.42610 -0.08330 11.04700 
24 10 2019 0 58 57 -0.07970 -0.00410 -0.42410 -0.07990 11.03000 
24 10 2019 0 59 15 -0.07600 -0.00270 -0.42320 -0.08100 10.99800 
24 10 2019 0 59 33 -0.07490 -0.00290 -0.41860 -0.07970 10.98800 
24 10 2019 0 59 50 -0.07430 -0.00400 -0.41480 -0.07790 10.96900 
24 10 2019 1 0 8 -0.07130 -0.00370 -0.41470 -0.07520 10.96200 
24 10 2019 1 0 26 -0.06830 -0.00260 -0.41310 -0.07290 10.96000 
24 10 2019 1 0 44 -0.06200 0.00140 -0.41340 -0.07110 10.96900 
24 10 2019 1 1 2 -0.05450 0.00820 -0.42380 -0.07420 10.96900 
24 10 2019 1 1 19 -0.05520 0.01020 -0.42960 -0.07700 10.96000 
24 10 2019 1 1 37 -0.05820 0.00820 -0.43190 -0.07740 10.93800 
24 10 2019 1 1 55 -0.06100 0.00700 -0.42980 -0.07590 10.93000 
24 10 2019 1 2 13 -0.06180 0.00690 -0.42590 -0.07440 10.92400 
24 10 2019 1 2 31 -0.06270 0.00580 -0.42350 -0.07230 10.89400 
24 10 2019 1 2 48 -0.06340 0.00530 -0.42470 -0.07220 10.87600 
24 10 2019 1 3 6 -0.06390 0.00540 -0.42690 -0.07270 10.85900 
24 10 2019 1 3 24 -0.06560 0.00520 -0.42650 -0.07290 10.84500 
24 10 2019 1 3 42 -0.06540 0.00480 -0.42070 -0.07250 10.84200 
24 10 2019 1 3 59 -0.06530 0.00440 -0.41190 -0.07080 10.82000 
24 10 2019 1 4 17 -0.06840 0.00070 -0.39900 -0.06450 10.80500 
24 10 2019 1 4 35 -0.06520 -0.00040 -0.38650 -0.04870 10.83200 
24 10 2019 1 4 53 -0.05000 0.01140 -0.39400 -0.04600 10.87100 
24 10 2019 1 5 11 -0.04110 0.01800 -0.39910 -0.04680 10.91100 
24 10 2019 1 5 28 -0.03120 0.02320 -0.39930 -0.04650 10.94700 
24 10 2019 1 5 46 -0.02740 0.02770 -0.40530 -0.04650 10.96900 
24 10 2019 1 6 4 -0.02270 0.03940 -0.42650 -0.05970 10.97400 
24 10 2019 1 6 22 -0.02280 0.04210 -0.43620 -0.07180 10.95900 
24 10 2019 1 6 40 -0.03840 0.02940 -0.43050 -0.07330 10.93600 
24 10 2019 1 6 57 -0.04910 0.02130 -0.42410 -0.07290 10.90800 
24 10 2019 1 7 15 -0.05670 0.01570 -0.41370 -0.07200 10.89300 
24 10 2019 1 7 33 -0.06040 0.01240 -0.40870 -0.06940 10.88600 
24 10 2019 1 7 51 -0.06050 0.01180 -0.40820 -0.06900 10.88200 
24 10 2019 1 8 9 -0.06110 0.01000 -0.40660 -0.06810 10.87900 
24 10 2019 1 8 26 -0.06150 0.00790 -0.40510 -0.06310 10.88200 
24 10 2019 1 8 44 -0.05640 0.01040 -0.40080 -0.05860 10.89300 
24 10 2019 1 9 2 -0.04840 0.01480 -0.40060 -0.05580 10.91600 
24 10 2019 1 9 20 -0.04780 0.02160 -0.40380 -0.05690 10.93000 
24 10 2019 1 9 37 -0.04110 0.02870 -0.40550 -0.06230 10.93300 
24 10 2019 1 9 55 -0.04350 0.03040 -0.40900 -0.06280 10.94200 
24 10 2019 1 10 13 -0.04280 0.03200 -0.41470 -0.06730 10.94100 
24 10 2019 1 10 31 -0.04550 0.02870 -0.41400 -0.06430 10.93700 
24 10 2019 1 10 49 -0.04980 0.02660 -0.41490 -0.06400 10.95100 
24 10 2019 1 11 6 -0.04700 0.03240 -0.41940 -0.06980 10.95200 
24 10 2019 1 11 24 -0.04740 0.03200 -0.42170 -0.07340 10.93600 
24 10 2019 1 11 42 -0.05200 0.02680 -0.42060 -0.07230 10.92800 
24 10 2019 1 12 0 -0.05960 0.02020 -0.41380 -0.06700 10.92600 
24 10 2019 1 12 18 -0.05420 0.02410 -0.41490 -0.06820 10.93100 
24 10 2019 1 12 35 -0.05330 0.02540 -0.41870 -0.07410 10.91800 
24 10 2019 1 12 53 -0.05820 0.02000 -0.41400 -0.07080 10.89400 
24 10 2019 1 13 11 -0.05880 0.01550 -0.40390 -0.06490 10.89200 
24 10 2019 1 13 29 -0.05280 0.01760 -0.40580 -0.06030 10.89200 
24 10 2019 1 13 47 -0.04670 0.02140 -0.40680 -0.06060 10.89900 
24 10 2019 1 14 4 -0.04710 0.02110 -0.40580 -0.05980 10.91400 
24 10 2019 1 14 22 -0.04060 0.02420 -0.40460 -0.05930 10.93100 
24 10 2019 1 14 40 -0.03540 0.02740 -0.40310 -0.05810 10.95300 
24 10 2019 1 14 58 -0.03040 0.03100 -0.39840 -0.05540 10.97100 
24 10 2019 1 15 15 -0.02750 0.03290 -0.39910 -0.05050 10.98700 
24 10 2019 1 15 33 -0.03210 0.03400 -0.40200 -0.04840 11.00400 
24 10 2019 1 15 51 -0.03150 0.03900 -0.40540 -0.05060 11.02300 
24 10 2019 1 16 9 -0.03220 0.04300 -0.41300 -0.05900 11.04300 
24 10 2019 1 16 27 -0.03230 0.04600 -0.42550 -0.06760 11.04800 
24 10 2019 1 16 44 -0.03670 0.04370 -0.42860 -0.07140 11.04100 
24 10 2019 1 17 2 -0.04300 0.03810 -0.42430 -0.07440 11.02000 
24 10 2019 1 17 20 -0.04970 0.03240 -0.42270 -0.07570 11.01100 
24 10 2019 1 17 38 -0.05640 0.02520 -0.41490 -0.07110 10.99800 
24 10 2019 1 17 56 -0.05610 0.02200 -0.40950 -0.06910 11.00000 
24 10 2019 1 18 13 -0.05040 0.02030 -0.41030 -0.06420 11.01700 
24 10 2019 1 18 31 -0.04510 0.02520 -0.41270 -0.06310 11.04800 
24 10 2019 1 18 49 -0.04320 0.02980 -0.41240 -0.06690 11.06000 
24 10 2019 1 19 7 -0.04240 0.03010 -0.41060 -0.06180 11.09600 
24 10 2019 1 19 24 -0.04050 0.03510 -0.40810 -0.05920 11.10400 
24 10 2019 1 19 42 -0.03680 0.04020 -0.40780 -0.06140 11.11900 
24 10 2019 1 20 0 -0.03520 0.04080 -0.41070 -0.06300 11.13800 
24 10 2019 1 20 18 -0.03560 0.03950 -0.41090 -0.06410 11.13700 
24 10 2019 1 20 36 -0.03840 0.03710 -0.41200 -0.05840 11.17000 
24 10 2019 1 20 53 -0.03710 0.04190 -0.41540 -0.05970 11.18600 
24 10 2019 1 21 11 -0.03450 0.04860 -0.41970 -0.06680 11.19300 
24 10 2019 1 21 29 -0.03700 0.04770 -0.42240 -0.07390 11.18800 
24 10 2019 1 21 47 -0.04010 0.04340 -0.42020 -0.07330 11.18300 
24 10 2019 1 22 5 -0.04140 0.03850 -0.41750 -0.07190 11.18600 
24 10 2019 1 22 22 -0.04230 0.03480 -0.41640 -0.07240 11.17900 
24 10 2019 1 22 40 -0.04350 0.03290 -0.41330 -0.07300 11.16300 
24 10 2019 1 22 58 -0.04220 0.03020 -0.41290 -0.07230 11.15600 
24 10 2019 1 23 16 -0.04390 0.03000 -0.42240 -0.07590 11.15600 
24 10 2019 1 23 34 -0.04650 0.03080 -0.42640 -0.08150 11.15800 
24 10 2019 1 23 51 -0.04930 0.02670 -0.41810 -0.07870 11.13800 
